Etunimi,Lukumäärä
Eriikka,55
Erja-Liisa,55
Esme,55
Hong,55
Ifrah,55
Janine,55
Jenika,55
Khadra,55
Kuura,55
Leena-Maria,55
Margaret,55
Mary-Ann,55
Menna,55
Pauline,55
Pia-Liisa,55
Riikka-Leena,55
Satu-Maaria,55
Savanna,55
Sini-Maaria,55
Siviä,55
Stefanie,55
Toive,55
Ullamaija,55
Varvara,55
Viliina,55
Anne-May,54
Berta,54
Ella-Mari,54
Ensi,54
Hagar,54
Hanna-Maaria,54
Hanna-Maarit,54
Irma-Liisa,54
Jada,54
Kastehelmi,54
Kitta,54
Maida,54
Maijastiina,54
Merle,54
Mirelle,54
Misa,54
Niini,54
Noa,54
Ottilia,54
Pii,54
Pirja,54
Tarja-Tuulikki,54
Tuua,54
Weera,54
Velma,54
Aino-Liisa,53
Anika,53
Anni-Maija,53
Anu-Maarit,53
Brianna,53
Catrin,53
Ella-Noora,53
Esma,53
Eva-Lisa,53
Fatemeh,53
Hanan,53
Irena,53
Kaisu-Leena,53
Katja-Maria,53
Katri-Maria,53
Kirsten,53
Laura-Kaisa,53
Marielle,53
Minna-Maija,53
Moonika,53
Satu-Sinikka,53
Silmu,53
Sol-Britt,53
Tiiti,53
Viva,53
Adna,52
Alida,52
Anu-Maria,52
Eeva-Stiina,52
Farah,52
Henriette,52
Jenica,52
Leija,52
Lise-Lotte,52
Maija-Kaisa,52
Mari-Johanna,52
Merit,52
Metti,52
Miska,52
Nelia,52
Sundus,52
Suvi-Marja,52
Tuula-Riitta,52
Yana,52
Adalia,51
Anna-Helena,51
Dania,51
Ella-Sofia,51
Emmi-Maria,51
Eva-Stina,51
Heili,51
Louisa,51
Luisa,51
Maari,51
Mimmu,51
Sarri,51
Savannah,51
Terhikki,51
Tiffany,51
Tuva,51
Ulla-Riikka,51
Vendela,51
Wilda,51
Adeline,50
Aisla,50
Alinda,50
Ann-Catrin,50
Annelie,50
Elly,50
Eva-Lotta,50
Iuliia,50
Jannike,50
Jinna,50
Kaisa-Maija,50
Keiju,50
Kirsti-Liisa,50
Magda,50
May-Britt,50
Minna-Maaria,50
Sheila,50
Titti,50
Tonja,50
Viktoriia,50
Ami,49
Anna-Katriina,49
Denice,49
Estella,49
Gea,49
Hana,49
Hanne-Maria,49
Immi,49
Ingalill,49
Julija,49
Lauren,49
Lolan,49
Madelene,49
Melis,49
Oona-Maria,49
Pirjetta,49
Rose-Maj,49
Saana-Maria,49
Salome,49
Sanni-Mari,49
Ada-Sofia,48
Aivi,48
Aleksiina,48
Alessa,48
Alia,48
Anastasija,48
Anna-Maarit,48
Danielle,48
Demi,48
Eleni,48
Eliza,48
Etti,48
Fiinu,48
Gunlög,48
Henrica,48
Ida-Lotta,48
Inessa,48
Jacqueline,48
Manja,48
Megan,48
Nelli-Noora,48
Riikka-Mari,48
Riitta-Sisko,48
Sadia,48
Shirin,48
Soraja,48
Tinna,48
Tuija-Liisa,48
Wanda,48
Venna,48
Alba,47
Amiira,47
Anna-Kaija,47
Annariikka,47
Ann-Charlott,47
Arna,47
Azra,47
Caroliina,47
Claire,47
Deborah,47
Jonna-Mari,47
Joy,47
Katju,47
Kylli,47
Manuela,47
Melody,47
Pia-Mari,47
Safira,47
Siw,47
Tarita,47
Tiitta,47
Ulla-Stina,47
Vida,47
Vivien,47
Yusra,47
Zhanna,47
Aada-Maria,46
Adanna,46
Arianna,46
Emelia,46
Esmeralda,46
Essi-Maria,46
Farhia,46
Henriika,46
Hildur,46
Iryna,46
Jeannette,46
Joan,46
Leonie,46
Liza,46
Marietta,46
Milla-Maaria,46
Mindy,46
Niki,46
Pricilla,46
Sarlotta,46
Siham,46
Soja,46
Zahraa,46
Anna-Katri,45
Asmaa,45
Birit,45
Corinna,45
Elli-Maria,45
Helkky,45
Helmi-Maria,45
Meryem,45
Outi-Maria,45
Reetta-Liisa,45
Rinja,45
Viviana,45
Yasmina,45
Anastacia,44
Annimari,44
Gita,44
Hawo,44
Heini-Maria,44
Izabella,44
Jemima,44
Julianne,44
Kaisli,44
Katrine,44
Kelly,44
Le,44
Margareetta,44
Marla,44
Paloma,44
Peppina,44
Ruby,44
Saara-Maija,44
Sagal,44
Sari-Anna,44
Selene,44
Sesilia,44
Silpa,44
Sirkku-Liisa,44
Taava,44
Tella,44
Anna-Reeta,43
Carmela,43
Casandra,43
Eena,43
Henna-Kaisa,43
Ida-Emilia,43
Juudit,43
Juulianna,43
Kaiju,43
Kayla,43
Liidia,43
Lilla,43
Liselotte,43
Maret,43
Marilla,43
Muisto,43
Nasra,43
Nataliya,43
Noemi,43
Phuong,43
Priscilla,43
Riitta-Kaisa,43
Simona,43
Stefania,43
Taisia,43
Vendla,43
Ainomaija,42
Alexsandra,42
Awa,42
Bushra,42
Catrine,42
Elida,42
Emma-Maria,42
Erina,42
Francesca,42
Hanna-Elina,42
Metta,42
Minéa,42
Minna-Riikka,42
Ninnu,42
Nomi,42
Piia-Maria,42
Sannakaisa,42
Serafia,42
Tiia-Riikka,42
Verona,42
Wiivi,42
Vivianna,42
Alisia,41
Anina,41
Bahar,41
Elinor,41
Fardowsa,41
Hawa,41
Hilla-Maria,41
Janella,41
Käthe,41
Laine,41
Marjo-Leena,41
Mi,41
Mia-Mari,41
Mili,41
Nataliia,41
Pia-Riitta,41
Piret,41
Rosalie,41
Sana,41
Sanna-Maaria,41
Sanni-Maria,41
Sari-Maarit,41
Seena,41
Sisko-Liisa,41
Soma,41
Sue,41
Tarleena,41
Tuomi,41
Tuula-Anneli,41
Ulriika,41
Vega,41
Viktoriya,41
Vilina,41
Violet,41
Yolanda,41
Zeynep,41
Amilia,40
Annemarie,40
Arita,40
Evin,40
Hannamaija,40
Hiba,40
Hibo,40
Hymy,40
Iqra,40
Lumikki,40
Mare,40
Melia,40
Mesi,40
Mildrid,40
Miranna,40
Sarika,40
Suna,40
Taira,40
Wendy,40
Vilma-Lotta,40
Aire,39
Alex,39
Anne-Liisa,39
Ayse,39
Brenda,39
Carolin,39
Eija-Sinikka,39
Erja-Riitta,39
Farida,39
Henna-Leena,39
Hetta,39
Hetti,39
Jenna-Julia,39
Jessiina,39
Madina,39
Mariama,39
Marinka,39
Meena,39
Merina,39
Mira-Maria,39
Nasro,39
Petronella,39
Ramla,39
Rimma,39
Seita,39
Solbritt,39
Tanita,39
Theresia,39
Tiia-Riina,39
Tintti,39
Tuuni,39
Ulla-Kaisa,39
Ulla-Leena,39
Veena,39
Xenia,39
Zinaida,39
Aline,38
Berfin,38
Chloé,38
Dea,38
Ela,38
Ellanoora,38
Emmaliina,38
Evena,38
Fatema,38
Henna-Maija,38
Iiri,38
Jessina,38
Magdaleena,38
Malviina,38
Milia,38
Natali,38
Noelia,38
Rana,38
Soilikki,38
Tiina-Marja,38
Ulla-Brita,38
Vivi-Ann,38
Agda,37
Aino-Inkeri,37
Anne-Marjut,37
Ann-Helen,37
Anni-Emilia,37
Cathrine,37
Ciara,37
Desirée,37
Ellamari,37
Elsa-Maria,37
Emma-Kaisa,37
Enia,37
Erja-Leena,37
Faisa,37
Gunlis,37
Jeni,37
Lovis,37
Mariette,37
Marja-Elina,37
Merete,37
Miia-Marika,37
Nikki,37
Saara-Kaisa,37
Satu-Sisko,37
Sirpa-Leena,37
Tiia-Tuulia,37
Vesta,37
Adella,36
Agata,36
Annastina,36
Anne-Kaarina,36
Auroora,36
Aylin,36
Celeste,36
Chantal,36
Ciia,36
Eevaleena,36
Ella-Maija,36
Hanneli,36
Iida-Lotta,36
Jasna,36
Jenny-Maria,36
Kalla,36
Kitte,36
Leena-Kaarina,36
Liisu,36
Lilianna,36
Linea,36
Lise-Lott,36
Lotten,36
Mirja-Riitta,36
Nasrin,36
Neda,36
Nila,36
Priitta,36
Rayaan,36
Renate,36
Samsam,36
Sini-Tuuli,36
Tuija-Leena,36
Vea,36
Viivi-Maria,36
Ülle,36
Aada-Sofia,35
Anab,35
Andréa,35
Anmari,35
Annaliina,35
Anu-Liisa,35
Anu-Mari,35
Daalia,35
Diane,35
Dorothy,35
Eeva-Kristiina,35
Eleanora,35
Emma-Leena,35
Faina,35
Hannamaria,35
Hanna-Marja,35
Heli-Maria,35
Henniina,35
Hilkka-Maija,35
Iida-Maija,35
Ingegärd,35
Irkka,35
Ivy,35
Joana,35
Joyce,35
Kea,35
Krista-Maria,35
Ksenija,35
Leena-Mari,35
Maijaliisa,35
Majken,35
Mathilde,35
Minh,35
Rayan,35
Sorella,35
Suad,35
Svitlana,35
Teija-Liisa,35
Adéle,34
Anu-Leena,34
Arlene,34
Ashley,34
Ditte,34
Eedith,34
Eetla,34
Eja,34
Fartun,34
Fatou,34
Gundel,34
Iana,34
Idun,34
Ingvor,34
Jaana-Maria,34
Joanne,34
Kerttuli,34
Malika,34
Marja-Kristiina,34
Marjanne,34
Marlen,34
Matilde,34
Mildred,34
Nasti,34
Nawal,34
Norah,34
Nour,34
Ofelia,34
Rafaela,34
Reetta-Leena,34
Ros-Marie,34
Sanni-Sofia,34
Talvi,34
Tatjaana,34
Aletta,33
Anja-Leena,33
Anne-Maaret,33
Céline,33
Dahlia,33
Darina,33
Elda,33
Gunni,33
Habiba,33
Katie,33
Kiisa,33
Leena-Sisko,33
Lejla,33
Lilija,33
Lorena,33
Lydmila,33
Mandy,33
Mari-Ann,33
Marikka,33
Mari-Leena,33
Marlena,33
Miija,33
Milja-Maria,33
Najmo,33
Pia-Kristiina,33
Reetta-Kaisa,33
Rosi,33
Saara-Sofia,33
Saba,33
Sabrin,33
Sibel,33
Sini-Marja,33
Sissel,33
Smilla,33
Thyra,33
Tuuve,33
Ubah,33
Ada-Maria,32
Alevtina,32
Anne-Christine,32
Anni-Leena,32
Britt-Louise,32
Caterina,32
Desiree,32
Dilan,32
Eevakaisa,32
Eeva-Sisko,32
Emi,32
Florence,32
Gun-May,32
Hailey,32
Hanna-Riina,32
Idil,32
Iida-Liisa,32
Iida-Mari,32
Karelia,32
Kirsi-Maaria,32
Kirta,32
Leena-Riitta,32
Lilya,32
Maare,32
Mai-Lis,32
Marge,32
Marjaterttu,32
Muna,32
Nimco,32
Roosa-Mari,32
Salka,32
Samia,32
Scarlett,32
Sini-Maarit,32
Tiiamari,32
Uliana,32
Viima,32
Vivika,32
Zelda,32
Ainomaria,31
Alisha,31
Christin,31
Eevamaija,31
Eevamaria,31
Eva-Marie,31
Faadumo,31
Hannaliisa,31
Helpi,31
Iida-Emilia,31
Irinja,31
June,31
Kathleen,31
Kiia-Maria,31
Laura-Maija,31
Lida,31
Lizette,31
Malgorzata,31
Mariya,31
Meliina,31
Merve,31
Minnaliisa,31
Munira,31
Natalija,31
Natja,31
Nenne,31
Nur,31
Oma,31
Onna,31
Saija-Leena,31
Sannamaija,31
Sanna-Marja,31
Sanna-Riitta,31
Seija-Leena,31
Seija-Sisko,31
Sima,31
Suvi-Maarit,31
Tiina-Leena,31
Tilla,31
Titi,31
Tuikku,31
Ullamari,31
Valerie,31
Yan,31
Yuliya,31
Zoja,31
Aija-Leena,30
Anne-Charlotte,30
Aria,30
Chelsea,30
Cira,30
Eeva-Riikka,30
Eija-Inkeri,30
Eili,30
Elice,30
Eva-Maija,30
Eyvor,30
Gabrielle,30
Ioulia,30
Jael,30
Jeena,30
Jelina,30
Julietta,30
Julina,30
Kirsi-Leena,30
Leanna,30
Lin,30
Linda-Marie,30
Mari-Susanna,30
Meerit,30
Mette-Maria,30
Millie,30
Minta,30
Molla,30
Nguyen,30
Nisa,30
Noora-Emilia,30
Pippa,30
Riitta-Marja,30
Roosa-Maaria,30
Seynab,30
Sickan,30
Sofiia,30
Suvianna,30
Tilta,30
Tuulianna,30
Valo,30
Yara,30
Alana,29
Alfhild,29
Amani,29
Aniita,29
Anna-Julia,29
Anna-Pauliina,29
Anne-Marika,29
Carol,29
Catalina,29
Dilara,29
Dolly,29
Edona,29
Eeva-Lotta,29
Elliina,29
Elmira,29
Elza,29
Emma-Liisa,29
Eva-Kaarina,29
Faduma,29
Gladys,29
Greeta,29
Hanna-Sofia,29
Hanne-Maarit,29
Henna-Maaria,29
Henna-Riitta,29
Ilham,29
Inca,29
Jemiina,29
Jenni-Johanna,29
Jonna-Riikka,29
Juanita,29
Kaiho,29
Kathy,29
Katy,29
Kerttu-Liisa,29
Kukka-Maria,29
Maija-Kaarina,29
Maija-Sisko,29
Maija-Stiina,29
Maren,29
Marja-Lea,29
Marjoriitta,29
Mimma,29
Nan,29
Neena,29
Neera,29
Riitta-Maria,29
Samiira,29
Sasha,29
Serafima,29
Serina,29
Telle,29
Tiija,29
Adea,28
Alvina,28
Ania,28
Anne-Maritta,28
Ariela,28
Ayda,28
Brigitte,28
Camille,28
Desiré,28
Elen,28
Emmi-Kaisa,28
Eva-Lena,28
Hannemari,28
Hatice,28
Henna-Riina,28
Ingemo,28
Janna-Mari,28
Jella,28
Junia,28
Juno,28
Karima,28
Katja-Leena,28
Katya,28
Kia-Maria,28
Krisse,28
Kristen,28
Liila,28
Linh,28
Maissi,28
Majlen,28
Marjo-Kaisa,28
Markit,28
Meya,28
Mimoza,28
Nura,28
Nyyti,28
Piita,28
Priska,28
Reetta-Maria,28
Ripsa,28
Saara-Liisa,28
Sania,28
Sannaleena,28
Seea,28
Senia,28
Shahla,28
Shamso,28
Shirley,28
Siro,28
Suvi-Tuulikki,28
Tarina,28
Tatyana,28
Tiinamari,28
Tuana,28
Tuuli-Maaria,28
Tähti,28
Ulla-Liisa,28
Ulla-Maarit,28
Vilmiina,28
Aiju,27
Aino-Emilia,27
Aino-Marja,27
Anh,27
Anne-Leena,27
Anu-Kaisa,27
Bertha,27
Cynthia,27
Delia,27
Derya,27
Dunia,27
Edita,27
Eiri,27
Emmie,27
Evia,27
Gunveig,27
Hanaan,27
Helén,27
Heli-Marja,27
Helmi-Sofia,27
Iivi,27
Inga-Liisa,27
Jenna-Riikka,27
Jertta,27
Joline,27
Kara,27
Katarzyna,27
Lisa-Marie,27
Lynn,27
Malou,27
Maria-Helena,27
Marsa,27
Miia-Liisa,27
Minnie,27
Naimi,27
Narges,27
Nasteho,27
Nele,27
Novalie,27
Odette,27
Petra-Maria,27
Rahmo,27
Reina,27
Renée,27
Riia-Maria,27
Rosalinda,27
Safina,27
Sallamaria,27
Sandy,27
Seliina,27
Sigbritt,27
Tasnim,27
Tetti,27
Tuyet,27
Vasilisa,27
Villa,27
Violeta,27
Virginia,27
Adaliina,26
Aino-Mari,26
Alison,26
Amaal,26
Annemaria,26
Annimaria,26
Anzhelika,26
Bich,26
Danica,26
Ellimaija,26
Ellinora,26
Emilla,26
Emmi-Noora,26
Enni-Maria,26
Eveline,26
Evie,26
Farhiyo,26
Henna-Liisa,26
Iidamaria,26
Iraida,26
Janice,26
Jasmiini,26
Kadri,26
Kamila,26
Kimberly,26
Lisa-Maria,26
Lotta-Emilia,26
Lotta-Mari,26
Maggie,26
Margareeta,26
Mari-Annika,26
Marine,26
Maritsa,26
Marja-Anneli,26
Marle,26
Mercedes,26
Miia-Riikka,26
Milla-Riina,26
Minna-Kristiina,26
Mirela,26
Nea-Sofia,26
Päivyt,26
Raija-Riitta,26
Roosamari,26
Rosalina,26
Rosa-Marie,26
Ruuth,26
Saina,26
Sakina,26
Sanna-Marika,26
Sihaam,26
Sini-Pilvi,26
Sirkkaliisa,26
Sirkka-Maija,26
Taru-Tuulia,26
Trine,26
Ulla-Britta,26
Ulla-Kaarina,26
Vanilla,26
Varma,26
Zanna,26
Agnesa,25
Ajla,25
Ancela,25
Anetta,25
Angelique,25
Anne-Helena,25
Anni-Lotta,25
Anuliina,25
Aula,25
Britt-Inger,25
Carolyn,25
Deniz,25
Dinah,25
Donia,25
Ellamaria,25
Elli-Mari,25
Elli-Sofia,25
Emeliina,25
Emmelie,25
Eunice,25
Faiza,25
Giulia,25
Gunbritt,25
Ha,25
Hannariikka,25
Henna-Maarit,25
Hennamari,25
Holly,25
Ida-Mari,25
Indira,25
Inge-Britt,25
Ira-Maria,25
Iro,25
Jiina,25
Justina,25
Kaja,25
Madelen,25
Madicken,25
Maria-Sofia,25
Marjanna,25
Melike,25
Meritta,25
Mia-Marika,25
Milou,25
Minne,25
Muniira,25
Muska,25
Nahid,25
Nida,25
Ninette,25
Odelia,25
Olesya,25
Parisa,25
Pilvi-Sisko,25
Priita,25
Päivi-Sisko,25
Rabia,25
Riikka-Maija,25
Saara-Leena,25
Satu-Johanna,25
Seila,25
Silja-Maria,25
Silje,25
Sini-Vuokko,25
Sirppa,25
Suvi-Elina,25
Suzana,25
Sävy,25
Tuija-Riitta,25
Utu,25
Venla-Maria,25
Yael,25
Zamzam,25
Aija-Liisa,24
Ainokaisa,24
Aino-Leena,24
Aleksia,24
Alona,24
Amaya,24
Amna,24
Amra,24
Anissa,24
Annariitta,24
Annasofia,24
Anne-Maaria,24
Anu-Maija,24
Bao,24
Camila,24
Debora,24
Dolores,24
Edina,24
Elisaveta,24
Ene,24
Eugenia,24
Evgeniia,24
Gun-Marie,24
Gun-Viol,24
Heli-Maarit,24
Hoang,24
Ilhan,24
Iona,24
Isadora,24
Isella,24
Ivana,24
Jaanika,24
Kastanja,24
Kristi,24
Liliya,24
Lilja-Maria,24
Lissu,24
Madison,24
Marena,24
Margetta,24
Mariko,24
Maxine,24
Mayvor,24
Milla-Emilia,24
Minette,24
Minna-Marika,24
Myrsky,24
Nazanin,24
Olesia,24
Penny,24
Peppilotta,24
Perla,24
Pi,24
Pia-Leena,24
Pihla-Maria,24
Raissa,24
Reet,24
Rode,24
Salla-Maija,24
Sannamaria,24
Sari-Susanna,24
Satu-Susanna,24
Siv-Britt,24
Tari,24
Teiju,24
Tetiana,24
Thilde,24
Tiara,24
Tiltu,24
Titta-Maria,24
Tuttu,24
Uljana,24
Uni,24
Vilhelmina,24
Vivica,24
Aasa,23
Ahlam,23
Alica,23
Anastasiya,23
Anett,23
Angel,23
Annabelle,23
Annel,23
Anni-Helena,23
Arlinda,23
Armiida,23
Asli,23
Aviva,23
Beatriz,23
Bibi,23
Chris,23
Darya,23
Donya,23
Eeva-Helena,23
Effi,23
Egzona,23
Eliise,23
Ema,23
Emma-Liina,23
Faith,23
Fatmire,23
Hanna-Kaarina,23
Hazel,23
Helianna,23
Helky,23
Hilja-Maria,23
Iija,23
Ikram,23
Ikran,23
Ila,23
India,23
Ing-Britt,23
Jenifer,23
Jennimari,23
Jerika,23
Katalin,23
Kateryna,23
Keira,23
Kirsi-Marjut,23
Laura-Emilia,23
Lee,23
Leena-Marjatta,23
Liina-Lotta,23
Lorin,23
Lotta-Liisa,23
Lucie,23
Lumikukka,23
Maileena,23
Mariaana,23
Maria-Riitta,23
Mari-Elina,23
Mari-Kaisa,23
Marja-Maija,23
Miina-Maria,23
Naimo,23
Néa,23
Niina-Mari,23
Olka,23
Osmi,23
Pia-Sofia,23
Päivi-Maria,23
Quynh,23
Rebeca,23
Rebekah,23
Renee,23
Ronia,23
Rosanne,23
Rosemarie,23
Sanniina,23
Sansa,23
Saranda,23
Sidra,23
Signhild,23
Sindi,23
Sini-Sofia,23
Sirpa-Riitta,23
Soini,23
Susana,23
Taiju,23
Tupu,23
Ull-Britt,23
Warda,23
Wilja,23
Zehra,23
Aalia,22
Ada-Emilia,22
Agnieszka,22
Alviina,22
Amber,22
Amran,22
Anna-Elisa,22
Anniliina,22
Arta,22
Asia,22
Binta,22
Dorita,22
Eline,22
Eloise,22
Else-May,22
Emilja,22
Emmi-Julia,22
Gaia,22
Giselle,22
Gunvi,22
Hajar,22
Henriina,22
Hilla-Maaria,22
Hoda,22
Idamaria,22
Janelle,22
Jeanne,22
Jemilia,22
Jenni-Kaisa,22
Jessie,22
Kaisaleena,22
Kaneli,22
Kati-Johanna,22
Kirsi-Maija,22
Leenamaija,22
Lidija,22
Liilia,22
Liisamaija,22
Liona,22
Lis-Britt,22
Liz,22
Lotta-Sofia,22
Madeline,22
Mahnaz,22
Maija-Helena,22
Maija-Reetta,22
Maira,22
Mairit,22
Malina,22
Malle,22
Mari-Helena,22
Mariita,22
Marinella,22
Melita,22
Minna-Marja,22
Mireille,22
Mirigli,22
Moira,22
Naana,22
Nafisa,22
Nata,22
Natascha,22
Nawaal,22
Nina-Mari,22
Noella,22
Phoebe,22
Pipa,22
Reetta-Maija,22
Riina-Maija,22
Riittaliisa,22
Roda,22
Rosamaria,22
Sadaf,22
Saili,22
Sarai,22
Sasa,22
Selda,22
Shani,22
Silke,22
Sirena,22
Sofiina,22
Sumeya,22
Suvi-Anna,22
Therése,22
Triinu,22
Tuulevi,22
Viktorija,22
Viviann,22
Adelle,21
Agnetha,21
Alda,21
Anja-Kaarina,21
Anna-Kristina,21
Anna-Lea,21
Anna-Leea,21
Anna-Tuulia,21
Annmarie,21
Audrey,21
Beerit,21
Delila,21
Dunja,21
Edel,21
Eerica,21
Eila-Maija,21
Elke,21
Emmaleena,21
Freia,21
Heli-Maija,21
Helny,21
Ida-Maija,21
Iinu,21
Inga-Maria,21
Inka-Riina,21
Isela,21
Israa,21
Katja-Mari,21
Kendra,21
Kesia,21
Kiki,21
Kseniia,21
Léa,21
Leenu,21
Liine,21
Lolita,21
Lowa,21
Lucinda,21
Lumi-Kukka,21
Luul,21
Mai-Britt,21
Maiju-Leena,21
Mairi,21
Majbritt,21
Manar,21
Marjam,21
Melika,21
Michele,21
Miia-Maarit,21
Miiu,21
Mulki,21
Nani,21
Natalya,21
Nathalia,21
Nelli-Maria,21
Neta,21
Nhu,21
Nikolina,21
Olesja,21
Penelope,21
Piia-Pauliina,21
Piia-Riitta,21
Poppy,21
Päivi-Helena,21
Roberta,21
Rosina,21
Roya,21
Sahro,21
Salwa,21
Sanaa,21
Senny,21
Serja,21
Siiri-Maria,21
Taisa,21
Tanja-Maria,21
Tiida,21
Torborg,21
Varpu-Leena,21
Vicky,21
Virpi-Liisa,21
Wivi,21
Vivianne,21
Yu,21
Aaliyah,20
Alea,20
Aleksina,20
Aliya,20
Aliyah,20
Anna-Kreetta,20
Ann-Cathrine,20
Anne-Elina,20
April,20
Arya,20
Asiya,20
Asla,20
Aysha,20
Berith,20
Blerta,20
Cesilia,20
Chanel,20
Damla,20
Darling,20
Dominique,20
Eedi,20
Eeva-Kaija,20
Elaine,20
Elham,20
Ellida,20
Elmiira,20
Elsbeth,20
Elvina,20
Emelina,20
Gresa,20
Havin,20
Hayley,20
Heather,20
Ida-Kaisa,20
Inès,20
Inge-May,20
Isa-Maria,20
Jaana-Maarit,20
Jamie,20
Jamilla,20
Jenni-Sofia,20
Kaisa-Marja,20
Kathryn,20
Katja-Maarit,20
Krisztina,20
Laura-Elina,20
Lis-Marie,20
Maaren,20
Mahsa,20
Maijaleena,20
Maikku,20
Maj-Brit,20
Malaika,20
Manal,20
Mariikka,20
Mari-Liisa,20
Marléne,20
Maryna,20
May-Len,20
Meini,20
Mertta,20
Miitu,20
Minnamaria,20
Mirabella,20
Nanja,20
Narin,20
Neila,20
Nermin,20
Oodi,20
Paula-Maria,20
Qamar,20
Randa,20
Ranya,20
Rihanna,20
Riina-Kaisa,20
Sari-Anneli,20
Satu-Päivikki,20
Saynab,20
Shahad,20
Silve,20
Suvi-Sisko,20
Tess,20
Tetta,20
Teuta,20
Tiia-Liisa,20
Tiinu,20
Veera-Kaisa,20
Vilna,20
Yen,20
Zandra,20
Zaynab,20
Zina,20
Aamina,19
Aile,19
Alaa,19
Alexandria,19
Aniela,19
Anna-Erika,19
Anna-Kajsa,19
Anna-Katarina,19
Anna-Liina,19
Anna-Marie,19
Ann-Catrine,19
Ann-Maria,19
Ann-May,19
Ariella,19
Arja-Maija,19
Asho,19
Aslög,19
Asra,19
Aure,19
Avin,19
Beada,19
Birgitte,19
Britt-Maj,19
Caitlin,19
Carine,19
Cora,19
Dunya,19
Eija-Maija,19
Ella-Maaria,19
Elliida,19
Ellimari,19
Els-Maj,19
Erza,19
Evgenija,19
Fatime,19
Georgina,19
Hanna-Katri,19
Hanna-Marika,19
Heidi-Mari,19
Hope,19
Iina-Sofia,19
Irmelin,19
Izabelle,19
Jaana-Maija,19
Janiika,19
Janissa,19
Janna-Maria,19
Jean,19
Jerina,19
Jevgenia,19
Jinka,19
Karmen,19
Karo,19
Kerli,19
Kirsimaria,19
Laia,19
Laura-Liisa,19
Liisa-Lotta,19
Linda-Mari,19
Lumi-Lilja,19
Luz,19
Maarja,19
Maleena,19
Mareena,19
María,19
Marie-Christine,19
Mariza,19
Marjariitta,19
Marttiina,19
Masoumeh,19
Merituulia,19
Mihaela,19
Miia-Maaria,19
Miisa-Maria,19
Mitja,19
Mona-Maria,19
Nabila,19
Natacha,19
Neah,19
Negin,19
Ninetta,19
Nuura,19
Pia-Maarit,19
Pia-Pauliina,19
Pia-Susanna,19
Riina-Mari,19
Riitta-Anneli,19
Runo,19
Ruu,19
Safiyo,19
Sara-Emilia,19
Sari-Johanna,19
Satu-Maija,19
Seera,19
Shania,19
Siena,19
Sofija,19
Sonja-Maria,19
Sumayo,19
Suvituulia,19
Syeda,19
Talia,19
Thao,19
Tiina-Riikka,19
Toivi,19
Triin,19
Tuila,19
Tuula-Maria,19
Tyyra,19
Valeriia,19
Wei,19
Vilja-Maria,19
Vivienne,19
Zoya,19
Ahlaam,18
Aimee,18
Aino-Ilona,18
Albulena,18
Amel,18
Amela,18
Amie,18
Aminata,18
Anja-Maija,18
Anna-Brita,18
Anna-Laura,18
Annareetta,18
Anneka,18
Anneliina,18
Anne-Marjo,18
Anni-Ilona,18
Ardita,18
Arja-Sisko,18
Athena,18
Avelia,18
Ayesha,18
Blanka,18
Briita,18
Brita-Liisa,18
Christiina,18
Eevamari,18
Eija-Kaarina,18
Eija-Maarit,18
Elona,18
Emma-Riikka,18
Emmi-Riikka,18
Evella,18
Gullan,18
Hanna-Lotta,18
Hillervo,18
Hippu,18
Huong,18
Iidaliina,18
Iida-Liina,18
Iina-Emilia,18
Ilhaan,18
Inka-Mari,18
Inni,18
Iréne,18
Jaana-Kaisa,18
Jaana-Liisa,18
Jenni-Emilia,18
Jina,18
Jing,18
Jonina,18
Judy,18
Kai,18
Kaisamari,18
Kaisa-Reetta,18
Karoline,18
Kateriina,18
Kati-Maria,18
Latifa,18
Leena-Anneli,18
Lena-Maria,18
Liina-Maria,18
Liivia,18
Lilith,18
Luana,18
Luiza,18
Marjan,18
Marzia,18
Meriem,18
Mia-Riitta,18
Michela,18
Millamari,18
Minna-Sisko,18
Mirna,18
Mirva-Liisa,18
Myriam,18
Natasa,18
Nea-Noora,18
Neija,18
Nesrin,18
Parvin,18
Piela,18
Pihka,18
Piiku,18
Pille,18
Pinja-Maria,18
Princess,18
Päivi-Liisa,18
Raquel,18
Rasha,18
Riim,18
Riitta-Mari,18
Ronda,18
Rosemary,18
Ruweyda,18
Salla-Maari,18
Sargit,18
Sari-Helena,18
Satu-Päivi,18
Sena,18
Shabnam,18
Sievä,18
Silvi,18
Solin,18
Sona,18
Taia,18
Teija-Leena,18
Teija-Riitta,18
Thilda,18
Tiina-Sisko,18
Ulla-Kaija,18
Ulla-Kristiina,18
Uuna,18
Wai,18
Vanda,18
Verena,18
Vjollca,18
Yamina,18
Zsuzsanna,18
Adèle,17
Adelie,17
Afnaan,17
Anju,17
Anna-Bella,17
Anna-Sisko,17
Anne-Mai,17
Ann-Nina,17
Anu-Elina,17
Anu-Kristiina,17
Arabella,17
Aster,17
Augusta,17
Aziza,17
Beate,17
Blanca,17
Bojan,17
Celinda,17
Deeqa,17
Deeqo,17
Dorothea,17
Eman,17
Embla,17
Emiilia,17
Emmalotta,17
Enid,17
Enni-Sofia,17
Estel,17
Esti,17
Evgeniya,17
Evguenia,17
Fereshteh,17
Feride,17
Francisca,17
Gilda,17
Grete,17
Gullvi,17
Hayat,17
Helmi-Lotta,17
